O,  1429
ch] 1
m,  2123
m,' 10
O,' 2
Riv 17
Pup 2
-Pl 2
Ris 25
Rip 2
m,- 25
Rin 8
Rio 1
'n  54
-Pu 1
-Pr 4
Pur 31
Rig 28
Rid 14
Rie 1
'n. 4
Ric 234
'n, 11
'n- 1
R A 279
k.L 2
'ov 1
k.K 1
k.H 5
k.G 2
k.D 1
k.E 1
R C 137
k.A 1
h-m 9
R B 89
DMU 99
R E 26
k.R 1
k.S 4
k.P 1
k.Q 1
XTO 9
iry 71
mec 10
irp 4
irr 239
irs 1739
irt 659
iru 1
iri 518
irk 13
irl 142
irm 166
irn 15
iro 106
ira 168
uee 566
irc 123
ird 386
ire 1485
irg 94
wts 1
R M 91
okf 1
,La 2
meh 1
Eph 38
wte 5
wth 23
rgu 150
meu 1
ir: 146
ir; 268
PSO 21
:I' 3
k.' 3
PSA 15
R S 94
k.  578
cdo 1
GRE 142
ir, 1600
ir- 23
ir. 406
rgy 13
ir  3665
ir! 98
Agi 6
ir' 15
pre 1851
MYR 1
HNE 5
:I  14
-tu 7
A;  4
:To 1
uef 2
ae! 1
,co 2
fra 282
fre 515
rga 157
fri 1193
,'- 38
fro 2652
hwr 1
fru 89
anm 10
cuc 63
fry 9
pro 2569
oo- 6
cub 27
Upr 2
dry 107
uy: 2
anh 37
SRI 84
INS 73
cuo 2
rgi 208
pru 62
R g 1
HN' 3
uy  90
R f 2
HN, 12
uec 2
oI  1
NME 28
rgn 2
eml 5
R k 1
RY' 1
LOC 87
'Mo 6
LOG 16
tzw 3
bio 14
EB, 2
dru 267
'Ma 5
ans 1487
LON 446
ld! 80
'Me 3
LOR 436
LOS 25
'My 16
!De 1
tze 3
LOW 158
LOT 148
LOU 595
n;T 1
sju 1
'Mu 2
LO] 2
dho 9
meU 1
EXA 34
cdu 17
meT 3
dhe 12
R s 2
dha 3
any 1745
Die 75
mOf 1
ne; 298
Dig 8
R w 4
'M, 1
tz: 3
yAs 3
Dia 54
tz! 3
tz  15
yAn 2
NOU 13
ld, 684
EBE 28
LO  642
RSE 97
h   1
LO' 4
-sw 22
-su 23
-st 82
LO, 27
-sp 37
-so 46
-sn 1
-sm 2
-sl 12
-sk 20
-si 49
-sh 67
LO; 1
-se 38
-sc 14
-sa 28
a,. 1
so! 29
Diz 2
-ad 9
t'? 2
DRI 206
n;H 1
t'  26
a,- 16
DRO 518
ld: 122
DRA 25
n ' 201
DRE 119
n   71
EME 133
hah 10
hai 338
hak 155
hal 4948
ham 823
han 4974
hao 4
ld? 61
hab 108
hac 33
had 1606
hae 28
haf 49
bis 60
hay 9
haz 54
n;N 1
'Ch 6
hap 682
har 1720
has 1391
hat 19408
hau 71
hav 6048
haw 36
t's 1551
n y 1636
t't 2
n z 9
n u 480
n t 9225
n w 1833
n v 189
n q 62
n p 944
n s 2286
n r 473
n m 2830
n l 786
n o 2468
n n 498
n i 1867
n h 3647
n k 172
n j 96
n e 923
n d 941
n g 570
n f 1175
n a 3887
t'o 5
n c 943
n b 1356
ha, 29
n [ 17
fay 4
ha  3
ha! 61
n W 377
n V 51
n Q 7
n P 163
n S 240
ha' 48
n M 208
n L 116
n O 172
n N 113
n I 1048
n H 265
n K 35
ha? 21
n E 162
n D 133
n G 151
n F 240
n A 511
IBI 47
n C 225
n B 190
ola 187
olb 8
olc 1
old 3277
ole 783
olf 40
olg 2
olh 2
oli 476
olk 151
oll 1042
olm 37
oln 9
olo 288
olp 90
olq 1
ols 186
olt 129
olu 189
olv 135
olw 1
l-v 3
oly 308
ueu 1
d:- 7
umu 49
fou 850
umv 7
fop 6
ump 454
for 11476
fos 10
l]  2
?Re 1
fox 42
foy 1
ume 388
foe 139
fog 13
uma 71
foa 16
fob 3
umb 511
fol 904
fon 74
f:  191
foh 9
foi 53
ol  349
ol! 43
ffu 9
GOF 1
ol' 55
f:S 1
 Xa 1
ol, 147
ol- 17
ol. 87
cu. 1
, Z 1
ol: 15
ol; 44
x', 1
ol? 22
eza 23
jeo 1
 XI 32
MPE 134
req 182
N.' 1
um? 7
Wye 3
um; 19
